"selection_algorithm","predictors_chosen","num_predictors","PRESS","MSEP","AIC","SBC","SBIC","RMSE","MSE","MAE","Adj_Rsquare","Pred_Rquare","RSquare","Coef_Determ","Coef_Var","Total_SS","Reg_SS","Err_SS","RMS","EMS","Function_Used","KS_Stat","KS_Pvalues","Params","target_name"
"Forward (aic)","TotalIndoorSF OverallQual Neighborhood BsmtUnfSF KitchenQual ExterQual LotArea GarageArea YearRemodAdd KitchenAbvGr BsmtFinSF2 LotFrontage YearBuilt BsmtFinSF1 BedroomAbvGr MasVnrType MasVnrArea PoolArea MSZoning LotConfig WoodDeckSF Exterior1st OpenPorchSF ScreenPorch TotRmsAbvGrd GarageCars",26,Inf,895258973947.384,33763.7976261243,34160.159194567,29535.054428838,25196.7625762082,634876844.321805,16479.9523900893,0.899536279827654,-Inf,0.904569808703825,0.95108874912062,13.9260244659225+0i,9207458778054.45,8328789225513.07,878669552541.378,114093003089.22,634876844.321805,"ols_step_forward_aic",0.0414850918239846,0.162433517955753,"target=SalePrice imb=0.8 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","SalePrice"
"Backward (aic)","MSZoning LotFrontage LotArea LotConfig Neighborhood OverallQual YearBuilt YearRemodAdd Exterior1st MasVnrType MasVnrArea ExterQual BsmtFinSF1 BsmtFinSF2 BsmtUnfSF BedroomAbvGr KitchenAbvGr KitchenQual TotRmsAbvGrd Fireplaces FireplaceQu GarageCars GarageArea WoodDeckSF OpenPorchSF ScreenPorch PoolArea YrSold TotalIndoorSF",29,Inf,888792404447.43,33764.1661336747,34197.5214485053,29528.0638621993,25142.9141353864,632166131.219412,16483.3828076315,0.899965226520264,-Inf,0.905457870225397,0.951555500338996,13.8962629161175+0i,9207458778054.45,8336966015365.31,870492762689.131,104212075192.066,632166131.219412,"ols_step_backward_aic",0.044221524598749,0.11541688594335,"target=SalePrice imb=0.8 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","SalePrice"
"Stepwise (aic)","TotalIndoorSF OverallQual Neighborhood BsmtUnfSF KitchenQual ExterQual LotArea GarageArea YearRemodAdd KitchenAbvGr BsmtFinSF2 LotFrontage YearBuilt BsmtFinSF1 BedroomAbvGr MasVnrType MasVnrArea PoolArea MSZoning LotConfig WoodDeckSF Exterior1st OpenPorchSF ScreenPorch TotRmsAbvGrd GarageCars",26,Inf,895258973947.384,33763.7976261243,34160.159194567,29535.054428838,25196.7625762082,634876844.321805,16479.9523900893,0.899536279827654,-Inf,0.904569808703825,0.95108874912062,13.9260244659225+0i,9207458778054.45,8328789225513.07,878669552541.378,114093003089.22,634876844.321805,"ols_step_both_aic",0.0414850918239846,0.162433517955753,"target=SalePrice imb=0.8 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","SalePrice"
"Forward (p-values)","TotalIndoorSF OverallQual Neighborhood BsmtUnfSF KitchenQual ExterQual LotArea GarageArea YearRemodAdd KitchenAbvGr BsmtFinSF2 LotFrontage YearBuilt BsmtFinSF1 BedroomAbvGr MasVnrType MasVnrArea PoolArea MSZoning Exterior1st WoodDeckSF LotConfig OpenPorchSF ScreenPorch TotRmsAbvGrd",25,Inf,896708816035.315,33765.1761227821,34156.2528703122,29536.2865980029,25216.8641344618,635890236.775907,16480.72302399,0.899375919315463,-Inf,0.904348420214081,0.9509723551261,13.9371344167028+0i,9207458778054.45,8326750800119.81,880707977934.631,115649316668.331,635890236.775907,"ols_step_forward_p",0.0407902889308216,0.176530137159094,"target=SalePrice imb=0.8 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","SalePrice"
"Backward (p-values)","MSZoning LotFrontage LotArea LotConfig Neighborhood HouseStyle OverallQual YearBuilt YearRemodAdd Exterior1st MasVnrType MasVnrArea ExterQual BsmtFinSF1 BsmtFinSF2 BsmtUnfSF BedroomAbvGr KitchenAbvGr KitchenQual TotRmsAbvGrd Fireplaces FireplaceQu GarageCars WoodDeckSF OpenPorchSF ScreenPorch PoolArea TotalIndoorSF",28,Inf,883278511762.753,33766.1141817314,34225.8936011249,29518.1171292993,25119.2292286886,630975677.043406,16505.843678346,0.900153605504765,-Inf,0.905978549589936,0.951829054814958,13.8831724808226+0i,9207458778054.45,8341760149150.9,865698628903.553,98138354695.8929,630975677.043406,"ols_step_backward_p",0.0428761079003509,0.13691121400678,"target=SalePrice imb=0.8 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","SalePrice"
"Stepwise (p-values)","TotalIndoorSF OverallQual Neighborhood BsmtUnfSF KitchenQual ExterQual LotArea GarageArea YearRemodAdd KitchenAbvGr BsmtFinSF2 LotFrontage YearBuilt BsmtFinSF1 BedroomAbvGr MasVnrType MasVnrArea PoolArea MSZoning Exterior1st WoodDeckSF LotConfig OpenPorchSF ScreenPorch TotRmsAbvGrd",25,Inf,896708816035.315,33765.1761227821,34156.2528703122,29536.2865980029,25216.8641344618,635890236.775907,16480.72302399,0.899375919315463,-Inf,0.904348420214081,0.9509723551261,13.9371344167028+0i,9207458778054.45,8326750800119.81,880707977934.631,115649316668.331,635890236.775907,"ols_step_both_p",0.0407902889308216,0.176530137159094,"target=SalePrice imb=0.8 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","SalePrice"
"Best Subset (SBIC)","Exterior2nd Fireplaces KitchenQual Exterior1st LotFrontage BedroomAbvGr",6,3690149647496.28,3434463696154.99,35662.3333700789,35842.0172811062,31473.0317452042,48975.2275524951,2398572913.81868,33128.6654414148,0.620446768248008,0.59922170313794,0.628782872171182,0.792958304181993,27.0681685814736+0i,9207458778054.43,5789492375862.82,3417966402191.61,180921636745.713,2398572913.81868,"ols_step_best_subset",0.0354307166811927,0.319231078081381,"target=SalePrice imb=0.8 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","SalePrice"
"Forward (aic)","TotalIndoorSF OverallQual Neighborhood BsmtUnfSF YearRemodAdd GarageArea MSZoning Fireplaces YearBuilt LotArea KitchenQual KitchenAbvGr TotRmsAbvGrd Exterior1st ScreenPorch WoodDeckSF LotFrontage BsmtFinSF2 OpenPorchSF GarageCars LotConfig MasVnrType HalfBath GarageYrBlt ExterQual BsmtFinSF1 BsmtFullBath YrSold",28,Inf,19.6897976178746,-2013.96865863186,-1607.03744836408,-6242.40988954651,0.118168340591696,0.0139637567181952,0.0815354060688301,0.912602208273639,-Inf,0.917101065088654,0.957653938063565,0.98276992244128+0i,232.788416463775,213.490504679229,19.2979117845457,2.84654006238972,0.0139637567181952,"ols_step_forward_aic",0.0456760037269265,0.0953857939558219,"target=Log_SalePrice imb=0.8 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","Log_SalePrice"
"Backward (aic)","MSZoning LotFrontage LotArea LotConfig Neighborhood OverallQual YearBuilt YearRemodAdd Exterior1st MasVnrType ExterQual BsmtFinSF1 BsmtFinSF2 BsmtUnfSF BsmtFullBath HalfBath KitchenAbvGr KitchenQual TotRmsAbvGrd Fireplaces GarageYrBlt GarageCars GarageArea WoodDeckSF OpenPorchSF ScreenPorch YrSold TotalIndoorSF",28,Inf,19.6897976178746,-2013.96865863186,-1607.03744836408,-6242.40988954651,0.118168340591696,0.0139637567181952,0.0815354060688301,0.912602208273639,-Inf,0.917101065088654,0.957653938063565,0.98276992244128+0i,232.788416463775,213.490504679229,19.2979117845457,2.84654006238972,0.0139637567181952,"ols_step_backward_aic",0.0456760037269265,0.0953857939558219,"target=Log_SalePrice imb=0.8 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","Log_SalePrice"
"Stepwise (aic)","TotalIndoorSF OverallQual Neighborhood BsmtUnfSF YearRemodAdd GarageArea MSZoning Fireplaces YearBuilt LotArea KitchenQual KitchenAbvGr TotRmsAbvGrd Exterior1st ScreenPorch WoodDeckSF LotFrontage BsmtFinSF2 OpenPorchSF GarageCars LotConfig MasVnrType HalfBath GarageYrBlt ExterQual BsmtFinSF1 BsmtFullBath YrSold",28,Inf,19.6897976178746,-2013.96865863186,-1607.03744836408,-6242.40988954651,0.118168340591696,0.0139637567181952,0.0815354060688301,0.912602208273639,-Inf,0.917101065088654,0.957653938063565,0.98276992244128+0i,232.788416463775,213.490504679229,19.2979117845457,2.84654006238972,0.0139637567181952,"ols_step_both_aic",0.0456760037269265,0.0953857939558219,"target=Log_SalePrice imb=0.8 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","Log_SalePrice"
